"id","name","grid","homepage","rdf-schema#seeAlso","owl#sameAS","created"
"184908088","Korea Military Academy","grid.453643.3","http://www.kma.ac.kr/","http://en.wikipedia.org/wiki/Korea_Military_Academy","http://dbpedia.org/resource/Korea_Military_Academy","2016-06-24"
"187792471","Ionian University","grid.449127.d","http://www.ionio.gr/","http://en.wikipedia.org/wiki/Ionian_University","http://dbpedia.org/resource/Ionian_University","2016-06-24"
"194019607","University of Ioannina","grid.9594.1","http://www.uoi.gr/","http://en.wikipedia.org/wiki/University_of_Ioannina","http://dbpedia.org/resource/University_of_Ioannina","2016-06-24"
"201487725","University of Atacama","grid.440631.4","http://www.uda.cl/","http://en.wikipedia.org/wiki/University_of_Atacama","http://dbpedia.org/resource/University_of_Atacama","2016-06-24"
"204831749","Southwestern University of Finance and Economics","grid.443347.3","http://www.swufe.edu.cn/","http://en.wikipedia.org/wiki/Southwestern_University_of_Finance_and_Economics","http://dbpedia.org/resource/Southwestern_University_of_Finance_and_Economics","2016-06-24"
"263512288","Scientific University of the South","grid.430666.1","http://www.cientifica.edu.pe/","http://en.wikipedia.org/wiki/Scientific_University_of_the_South","http://dbpedia.org/resource/Scientific_University_of_the_South","2016-06-24"
"876193797","VIT University","grid.412813.d","http://www.vit.ac.in/","http://en.wikipedia.org/wiki/VIT_University","http://dbpedia.org/resource/VIT_University","2016-06-24"
"900890020","University of Palermo","grid.10776.37","http://www.unipa.it/","http://en.wikipedia.org/wiki/University_of_Palermo","http://dbpedia.org/resource/University_of_Palermo","2016-06-24"
"916559398","Kindai University","grid.258622.9","http://www.kindai.ac.jp/english/","http://en.wikipedia.org/wiki/Kindai_University","http://dbpedia.org/resource/Kindai_University","2016-06-24"
"88580380","La Poste","","http://www.laposte.fr/","http://en.wikipedia.org/wiki/La_Poste_(France)","http://dbpedia.org/resource/La_Poste_(France)","2016-06-24"
"922088553","Mendel Biotechnology, Inc.","","https://web.archive.org/web/20130105233825/http://www.mendelbio.com/index.php","http://en.wikipedia.org/wiki/Mendel_Biotechnology,_Inc.","http://dbpedia.org/resource/Mendel_Biotechnology,_Inc.","2016-06-24"
"1288214837","United States Naval Research Laboratory","grid.89170.37","http://www.nrl.navy.mil/","http://en.wikipedia.org/wiki/United_States_Naval_Research_Laboratory","http://dbpedia.org/resource/United_States_Naval_Research_Laboratory","2016-06-24"
"1297473319","National Portrait Gallery, London","","http://www.npg.org.uk/","http://en.wikipedia.org/wiki/National_Portrait_Gallery,_London","http://dbpedia.org/resource/National_Portrait_Gallery,_London","2016-06-24"
"1299022934","United States Department of Health and Human Services","grid.27235.31","http://www.hhs.gov/","http://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services","http://dbpedia.org/resource/United_States_Department_of_Health_and_Human_Services","2016-06-24"
