"id","name","ispartof","location","homepage","timeline.owl#start","timeline.owl#end","abstractregistrationdate","notificationduedate","submissiondeadlinedate","finalversionduedate","created"
"59635760","BIBE 2011","1153779279","http://dbpedia.org/resource/Taichung","http://bibe2011.asia.edu.tw","2011-10-24","2011-10-26",NULL,"2011-06-24","2011-04-22","2011-07-22","2016-06-24"
"64919201","ESORICS 2013","1183679797","http://dbpedia.org/resource/Egham","http://esorics2013.isg.rhul.ac.uk/","2013-09-09","2013-09-11","2013-03-31","2013-06-10","2013-04-10","2013-06-21","2016-06-24"
"86070549","SIGCSE 2013","1124504716","http://dbpedia.org/resource/Denver","http://www.sigcse.org/sigcse2013/","2013-03-06","2013-03-09",NULL,NULL,"2012-09-07",NULL,"2016-06-24"
"88399950","IAS 2012","2756594110","http://dbpedia.org/resource/Jejudo","http://www.ias-12.org","2012-06-26","2012-06-29",NULL,"2012-03-15","2012-01-31","2012-04-30","2016-06-24"
"125378760","CDC 2013","1198780418","http://dbpedia.org/resource/Italy","http://cdc2013.units.it/timetable.php","2013-12-10","2013-12-13",NULL,"2013-07-31","2013-03-11","2013-09-05","2016-06-24"
"167176894","FASE 2010","1187615537","http://dbpedia.org/resource/Paphos","http://www.mathematik.uni-marburg.de/~swt/fase2010/","2010-03-22","2010-03-26","2009-10-01","2009-12-11","2009-10-08","2010-01-04","2016-06-24"
"193195731","SEFM 2011","1128095430","http://dbpedia.org/resource/Montevideo","http://www.fing.edu.uy/inco/eventos/SEFM2011/","2011-11-14","2011-11-18","2011-04-23","2011-06-15","2011-04-30","2011-07-15","2016-06-24"
"615088125","SIGGRAPH 2009","1164321581","http://dbpedia.org/resource/New_Orleans","http://www.siggraph.org/s2009/submissions/index.php","2009-08-03","2009-08-03",NULL,NULL,"2009-05-09",NULL,"2016-06-24"
"626950217","ANSS 2010","1158388210","http://dbpedia.org/resource/Orlando,_Florida",NULL,"2010-04-12","2010-04-15",NULL,NULL,"2010-01-10",NULL,"2016-06-24"
"631229999","OOPSLA 2013","1138732554","http://dbpedia.org/resource/Indianapolis","http://splashcon.org/2013/cfp/618","2013-10-26","2013-10-31",NULL,NULL,"2013-06-14",NULL,"2016-06-24"
"636559914","HotOS 2013","2605467207","http://dbpedia.org/resource/New_Mexico","http://www.usenix.org/conference/hotos13","2013-05-13","2013-05-13",NULL,NULL,"2013-01-10",NULL,"2016-06-24"
"658606758","ISBI 2009","1187587159","http://dbpedia.org/resource/Boston","http://www.biomedicalimaging.org/ISBI2009_CallForPapers.pdf","2009-06-29","2009-07-01",NULL,NULL,"2009-01-19",NULL,"2016-06-24"
"2315889567","SODA 2016","1130177464","http://dbpedia.org/resource/Arlington_County,_Virginia","https://www.siam.org/meetings/da16/","2016-01-10","2016-01-12","2015-07-01","2015-09-15","2015-07-08",NULL,"2016-06-24"
"2321079411","ITiCSE 2016","1167012292","http://dbpedia.org/resource/Arequipa_Region","http://ucsp.edu.pe/iticse2016/","2016-07-11","2016-07-13",NULL,NULL,"2016-01-10",NULL,"2016-06-24"
"2583557579","SODA 2017","1130177464","http://dbpedia.org/resource/Barcelona","http://siam.org/meetings/da17/","2017-01-16","2017-01-19","2016-07-06",NULL,NULL,NULL,"2017-02-10"
"2605395032","BIOSIGNALS 2017","1198225011","http://dbpedia.org/resource/Porto","http://www.biosignals.biostec.org/","2017-02-21","2017-02-23",NULL,NULL,NULL,NULL,"2017-04-28"
