"id","cites"
"1648547505","1971989179"
"1648547505","1989788674"
"1648547505","2000402810"
"1648547505","2046686703"
"1648883014","2064468954"
"1666520494","2014682033"
"1669122353","2071609006"
"1669122353","2140060717"
"1675761333","2130266733"
"1715824619","1735571259"
"1717365219","1589943916"
"1728853175","1811742392"
"1762702394","2264229011"
"1785601929","1881285923"
"1791346464","2148486540"
"1806343411","2123838014"
"1810604928","2058869603"
"1833271173","1549475994"
"1836785815","2050673266"
"1839744291","2090992897"
"1843187217","2099619936"
"1844514770","2131664668"
"1845027167","1594991445"
"1849900095","2096903159"
"1850839028","1597406097"
"1867816105","1970759228"
"1867909704","2084104955"
"1879284494","1837585114"
"1879284494","2110285965"
"1880389766","2469844020"
"1882306176","2140759217"
"1882637194","1940809216"
"1896805129","1535557071"
"1897922004","2127636250"
"1901719292","2104020538"
"1907471827","34743387"
"1907471827","2242119604"
"1918909152","1836870377"
"1923717226","1545778477"
"1924512274","2161549461"
"1925182522","1978063293"
"1925182522","2023365482"
"1931165940","1516612778"
"1931165940","2064468954"
"1933854636","49836312"
"1933854636","1837962634"
"1935827650","1925182522"
"1935827650","1966421669"
"1935827650","2043804958"
"1935827650","2066344015"
"1935827650","2079727636"
"1935935020","2374421605"
"1940332416","1000518114"
"1940761297","1510054038"
"1945627477","2009375902"
"1953540581","2055672995"
"1953540581","2154679678"
"1954124505","2131787605"
"1955009057","2220949588"
"1959998020","1981343135"
"1959998020","2030668727"
"1959998020","2168550023"
"1963643488","2115120343"
"1965665846","1976793232"
"1966036519","355138378"
"1966044724","2064051629"
"1966398296","2020580827"
"1966421669","1925182522"
"1966421669","1935827650"
"1966421669","2043804958"
"1966421669","2066344015"
"1966421669","2079727636"
"1967019306","2071542068"
"1969228309","2134953918"
"1969450101","2077283616"
"1970990536","2052010550"
"1971087442","2123838014"
"1971346870","2114586992"
"1971487708","2022788983"
"1971487708","2035943985"
"1971886272","2017220222"
"1972157699","2148560604"
"1972734500","2126455177"
"1972788749","1548849615"
"1974292719","2030668727"
"1974416123","2057968080"
"1975313382","2104706722"
"1975353506","2132108934"
"1975889000","1516461961"
"1975976911","1977363797"
"1976427940","2077977208"
"1978293224","1987463560"
"1982067192","1975833254"
"1982067192","2012639640"
"1982067192","2112072287"
"1982021878","2155735325"
"1982232037","2134593052"
"1982364917","1966587688"
"1982889986","2046153271"
"1983314154","1774444290"
"1984090756","1975185028"
"1984988351","2020580827"
"1985089130","2044015382"
"1986540981","2098190203"
"1988147696","2027190221"
"1989354045","2082093772"
"1989480635","2082602400"
"1989704116","2154811453"
"1989731048","2016528028"
"1990818944","2053500536"
"1991451033","2314813426"
"1993527670","2039458838"
"1993562282","2124849257"
"1993667858","2062133803"
"1994941975","1014017830"
"1995197213","2160203376"
"1995905944","2004711443"
"1996222702","2043387525"
"1997161403","2052789583"
"1997862533","2111512403"
"1998244449","2008096273"
"1998585363","2149601387"
"1998613506","1978063293"
"1999474185","2178726493"
"1999520435","2164009125"
"2000198292","1567268701"
"2000402810","2046686703"
"2000669420","2014404405"
"2001165019","1989947751"
"2001482959","2161505907"
"2001537678","1984988351"
"2001537678","2105463364"
"2001537678","2140647971"
"2001863350","2043387525"
"2002261326","1994946515"
"2003562990","2039323600"
"2004713065","2068405078"
"2005095133","2030197891"
"2005325227","2123838014"
"2005741809","2004322292"
"2005742291","420023589"
"2006536078","2037710531"
"2007452429","2172016740"
"2007703491","2134090618"
"2007929921","2064051629"
"2009378547","2037710531"
"2009989885","1997230900"
"2010705706","1993527670"
"2011995162","2090759754"
"2012495212","108857541"
"2014059494","2068647945"
"2015414145","2079284854"
